Location,P-Code
AFG,AF2113
AFG,AF2903
AFG,AF2303
AFG,AF2001
AFG,AF13
AFG,AF1305
AFG,AF1708
AFG,AF1205
AFG,AF1706
AFG,AF3308
AFG,AF1304
AFG,AF1306
AFG,AF19
AFG,AF1309
AFG,AF1815
AFG,AF1501
AFG,AF0206
AFG,AF2707
AFG,AF1801
AFG,AF2102
AFG,AF1727
AFG,AF2002
AFG,AF2808
AFG,AF1404
AFG,AF0910
AFG,AF1201
AFG,AF2105
AFG,AF1215
AFG,AF3215
AFG,AF0705
AFG,AF1216
AFG,AF1705
AFG,AF23
AFG,AF0703
AFG,AF3004
AFG,AF3306
AFG,AF3204
AFG,AF0605
AFG,AF1407
AFG,AF0802
AFG,AF1513
AFG,AF06
AFG,AF16
AFG,AF0403
AFG,AF20
AFG,AF2205
AFG,AF0506
AFG,AF03
AFG,AF1710
AFG,AF1606
AFG,AF2914
AFG,AF1509
AFG,AF0112
AFG,AF1808
AFG,AF1514
AFG,AF1110
AFG,AF28
AFG,AF0103
AFG,AF2913
AFG,AF2912
AFG,AF1802
AFG,AF0101
AFG,AF2409
AFG,AF0612
AFG,AF2204
AFG,AF2607
AFG,AF3305
AFG,AF0406
AFG,AF1505
AFG,AF3303
AFG,AF1504
AFG,AF2804
AFG,AF31
AFG,AF2206
AFG,AF0113
AFG,AF1902
AFG,AF0301
AFG,AF3008
AFG,AF0913
AFG,AF02
AFG,AF1302
AFG,AF0805
AGO,AO06049168
AGO,AO05028
AGO,AO16137449
AGO,AO13112358
AGO,AO08067224
AGO,AO03023091
AGO,AO07057190
AGO,AO07053
AGO,AO14118381
AGO,AO06041147
AGO,AO02014057
AGO,AO11093
AGO,AO14119386
AGO,AO01005022
AGO,AO04024094
AGO,AO13112361
AGO,AO03015
AGO,AO01001001
AGO,AO03016
AGO,AO09077251
AGO,AO07060202
AGO,AO17148477
AGO,AO01005019
AGO,AO14126410
AGO,AO13113
AGO,AO15129
AGO,AO14121391
AGO,AO16140456
AGO,AO17152
AGO,AO02009032
AGO,AO03
AGO,AO11094321
AGO,AO15134432
AGO,AO04025099
AGO,AO05029110
AGO,AO09076248
AGO,AO07059196
AGO,AO14122397
AGO,AO10089291
AGO,AO17148478
AGO,AO14124404
AGO,AO09165259
AGO,AO18159512
AGO,AO17153494
AGO,AO08063212
AGO,AO07056188
AGO,AO18163525
AGO,AO10087286
AGO,AO11003
AGO,AO17
AGO,AO16139453
AGO,AO10090
AGO,AO08067222
AGO,AO07055
AGO,AO07057193
AGO,AO07054183
AGO,AO03018
AGO,AO05032118
AGO,AO11098318
AGO,AO09165260
AGO,AO02014
AGO,AO03018072
AGO,AO05036
AGO,AO14115372
AGO,AO05028106
AGO,AO10086280
AGO,AO07052177
AGO,AO07050
AGO,AO10082269
AGO,AO10083
AGO,AO17142460
AGO,AO16138452
AGO,AO12104
AGO,AO10082266
AGO,AO04027105
AGO,AO09068227
AGO,AO04026100
AGO,AO09074243
AGO,AO11100323
AGO,AO01002006
AGO,AO14118382
AGO,AO17153492
AGO,AO15136444
AGO,AO02010040
AGO,AO10084
AGO,AO05034126
AGO,AO01040145
AGO,AO07060201
AGO,AO13112360
AGO,AO16141
AGO,AO08066220
AGO,AO11094305
AGO,AO10087284
AGO,AO03017067
AGO,AO17143463
AGO,AO10082267
AGO,AO17145468
AGO,AO11094310
AGO,AO09069230
AGO,AO02010038
AGO,AO01005020
AGO,AO10082268
AGO,AO10086278
AGO,AO13112359
AGO,AO11094
AGO,AO09071
AGO,AO03020080
AGO,AO14127
AGO,AO11004013
AGO,AO14114367
AGO,AO12104335
AGO,AO02006026
AGO,AO10082
AGO,AO12101
AGO,AO02013051
AGO,AO03023
AGO,AO01043156
AGO,AO04025098
AGO,AO02013049
AGO,AO18160513
AGO,AO05028107
AGO,AO18163524
AGO,AO02012
AGO,AO04026
AGO,AO08063211
AGO,AO02006027
AGO,AO17148479
AGO,AO12105
AGO,AO14119
AGO,AO11094320
AGO,AO14117377
AGO,AO07054184
AGO,AO10086279
AGO,AO08065
AGO,AO17144465
AGO,AO12109350
AGO,AO14122
AGO,AO11093300
AGO,AO02014055
AGO,AO08065215
AGO,AO13113364
AGO,AO06037136
AGO,AO07059198
AGO,AO17146
AGO,AO14120
AGO,AO02010039
AGO,AO18161518
AGO,AO06038
AGO,AO16137448
AGO,AO05033124
AGO,AO16138
AGO,AO18162523
AGO,AO03022
AGO,AO11098309
AGO,AO07059197
AGO,AO17151
AGO,AO09078
AGO,AO07053180
AGO,AO12102329
AGO,AO10081262
AGO,AO03018073
AGO,AO02009035
AGO,AO04027104
AGO,AO09078254
AGO,AO03017068
AGO,AO03019077
AGO,AO11094311
AGO,AO12103
AGO,AO17155502
AGO,AO06041150
AGO,AO03016066
AGO,AO14117379
AGO,AO02011043
AGO,AO03015059
AGO,AO18162520
AGO,AO17157506
AGO,AO08066
AGO,AO07053179
AGO,AO15134
AGO,AO08065218
AGO,AO17146471
AGO,AO11094309
AGO,AO09080
AGO,AO11003009
AGO,AO02014054
AGO,AO10090293
AGO,AO05036130
AGO,AO05034
AGO,AO14116349
AGO,AO06049169
AGO,AO14122395
AGO,AO16137446
AGO,AO03020
AGO,AO03015058
AGO,AO18161
AGO,AO02164057
AGO,AO11098
AGO,AO17148
AGO,AO14120388
AGO,AO06039143
AGO,AO06044158
AGO,AO05030
AGO,AO11003012
AGO,AO03021084
AGO,AO09076249
AGO,AO06039
AGO,AO15134434
AGO,AO03016065
AGO,AO09069232
AGO,AO15131426
AGO,AO11004015
AGO,AO11098323
AGO,AO08067223
AGO,AO09076
AGO,AO10087283
AGO,AO16140457
AGO,AO14127414
AGO,AO10083271
AGO,AO01040
AGO,AO01001
AGO,AO09072240
AGO,AO08066219
AGO,AO17147473
AGO,AO15135439
AGO,AO03016064
AGO,AO07057192
AGO,AO11
AGO,AO05033
AGO,AO01005023
AGO,AO09075246
AGO,AO15136443
AGO,AO03019075
AGO,AO07061204
AGO,AO10085275
AGO,AO06038143
AGO,AO14122399
AGO,AO03020083
AGO,AO02006
AGO,AO14122398
AGO,AO09068226
AGO,AO11093302
AGO,AO11093301
AGO,AO12107341
AGO,AO14117378
AGO,AO12109347
AGO,AO07061205
AGO,AO02009034
AGO,AO16137447
AGO,AO05036131
AGO,AO09078256
AGO,AO17150
AGO,AO17155501
AGO,AO17148480
AGO,AO17154498
AGO,AO01001002
AGO,AO14114366
AGO,AO14114365
AGO,AO10081265
AGO,AO15130
AGO,AO12107342
AGO,AO11092298
AGO,AO03023090
AGO,AO04026102
AGO,AO12102330
AGO,AO09073241
AGO,AO08065217
AGO,AO17155500
AGO,AO14120389
AGO,AO08063210
AGO,AO07060200
AGO,AO12103331
AGO,AO02013
AGO,AO16138450
AGO,AO11093303
AGO,AO17147474
AGO,AO10091
AGO,AO15128
AGO,AO09070235
AGO,AO05032119
AGO,AO11098316
AGO,AO17154
AGO,AO09079
AGO,AO15133
AGO,AO06046164
AGO,AO09072239
AGO,AO03021
AGO,AO11094319
AGO,AO14125
AGO,AO05
AGO,AO18159509
AGO,AO14125407
AGO,AO17156
AGO,AO14126
AGO,AO03023093
AGO,AO14124
AGO,AO09069231
AGO,AO15133429
AGO,AO05035
AGO,AO06046163
AGO,AO05035128
AGO,AO10081264
AGO,AO18158507
AGO,AO06038139
AGO,AO02008031
AGO,AO06041148
AGO,AO06044159
AGO,AO18160516
AGO,AO03017070
AGO,AO04024096
AGO,AO10087
AGO,AO17151489
AGO,AO17144
AGO,AO15128416
AGO,AO05029108
AGO,AO07057
AGO,AO18
AGO,AO09069
AGO,AO17156504
AGO,AO14120387
AGO,AO09165250
AGO,AO09077253
AGO,AO14125408
AGO,AO15128421
AGO,AO17149484
AGO,AO14118383
AGO,AO18158
AGO,AO11100322
AGO,AO09073
AGO,AO17154499
AGO,AO10084273
AGO,AO06041149
AGO,AO08062206
AGO,AO17151488
AGO,AO05033122
AGO,AO16137
AGO,AO08065216
AGO,AO06042152
AGO,AO05033123
AGO,AO04025
AGO,AO15134431
AGO,AO12108345
AGO,AO18160514
AGO,AO07054182
AGO,AO07051173
AGO,AO14127413
AGO,AO10
AGO,AO09079257
AGO,AO09072
AGO,AO06041
AGO,AO07
AGO,AO17153
AGO,AO07054
AGO,AO16138451
AGO,AO14123400
AGO,AO10085277
AGO,AO10081263
AGO,AO06049
AGO,AO13111356
AGO,AO15135436
AGO,AO10090294
AGO,AO07061
AGO,AO12
AGO,AO17149483
AGO,AO17147472
AGO,AO10081
AGO,AO07060
AGO,AO02013048
AGO,AO18160515
AGO,AO14121392
AGO,AO12108343
AGO,AO17156505
AGO,AO14118
AGO,AO14121390
AGO,AO05030111
AGO,AO10087285
AGO,AO08064213
AGO,AO02007028
AGO,AO12109348
AGO,AO01040146
AGO,AO07055187
AGO,AO17154497
AGO,AO10086282
AGO,AO12102
AGO,AO04026101
AGO,AO10089289
AGO,AO07056189
AGO,AO03016063
AGO,AO12106338
AGO,AO17150487
AGO,AO03017
AGO,AO07051175
AGO,AO12104333
AGO,AO17148481
AGO,AO10085276
AGO,AO09165
AGO,AO14123401
AGO,AO13111355
AGO,AO14116374
AGO,AO13113362
AGO,AO09077252
AGO,AO15135438
AGO,AO12106
AGO,AO09070233
AGO,AO03019076
AGO,AO06045
AGO,AO15134430
AGO,AO07057191
AGO,AO17155503
AGO,AO07059
AGO,AO12107
AGO,AO06037
AGO,AO06048
AGO,AO01001003
AGO,AO14121
AGO,AO09079259
AGO,AO09075245
AGO,AO17142462
AGO,AO09073242
AGO,AO05029
AGO,AO14
AGO,AO08064
AGO,AO09071238
AGO,AO13
AGO,AO06045161
AGO,AO04027103
AGO,AO11100
AGO,AO01002007
AGO,AO02006025
AGO,AO18160
AGO,AO14115
AGO,AO15128417
AGO,AO08
AGO,AO15130424
AGO,AO11094307
AGO,AO08063208
AGO,AO06037135
AGO,AO01002299
AGO,AO02013050
AGO,AO02006024
AGO,AO15131425
AGO,AO12106339
AGO,AO15128418
AGO,AO01005017
AGO,AO11094323
AGO,AO05031114
AGO,AO09075
AGO,AO02007030
AGO,AO05034125
AGO,AO18159
AGO,AO14122394
AGO,AO15132427
AGO,AO07051174
AGO,AO02007029
AGO,AO11094312
AGO,AO09068228
AGO,AO10083270
AGO,AO03023092
AGO,AO17144466
AGO,AO15136
AGO,AO06038138
AGO,AO06044
AGO,AO11094313
AGO,AO02164056
AGO,AO17153493
AGO,AO15128422
AGO,AO09070236
AGO,AO17151490
AGO,AO03015061
AGO,AO13113363
AGO,AO10091297
AGO,AO10089292
AGO,AO14114368
AGO,AO05031115
AGO,AO15135437
AGO,AO01005
AGO,AO03020081
AGO,AO02011042
AGO,AO09078255
AGO,AO03020082
AGO,AO02012047
AGO,AO17154496
AGO,AO17155
AGO,AO17143
AGO,AO02007
AGO,AO09076247
AGO,AO17145469
AGO,AO05031116
AGO,AO07056
AGO,AO02008
AGO,AO05031
AGO,AO15132
AGO,AO10091296
AGO,AO06037137
AGO,AO15129423
AGO,AO18163526
AGO,AO13111
AGO,AO06045162
AGO,AO14115369
AGO,AO01
AGO,AO14124405
AGO,AO14117380
AGO,AO11094315
AGO,AO02009036
AGO,AO15134433
AGO,AO02164053
AGO,AO13110340
AGO,AO07058194
AGO,AO12107340
AGO,AO05034127
AGO,AO09070
AGO,AO05029109
AGO,AO17157
AGO,AO07050170
AGO,AO17145
AGO,AO03022086
AGO,AO18159511
AGO,AO11004014
AGO,AO18162521
AGO,AO11094308
AGO,AO05035129
AGO,AO09080260
AGO,AO02010
AGO,AO08067
AGO,AO01002005
AGO,AO04024095
AGO,AO01005021
AGO,AO09079258
AGO,AO10088288
AGO,AO09068229
AGO,AO08062
AGO,AO07061203
AGO,AO10086281
AGO,AO10083272
AGO,AO14124403
AGO,AO03022087
AGO,AO09074
AGO,AO11098317
AGO,AO02164
AGO,AO06
AGO,AO01002
AGO,AO11094306
AGO,AO05030112
AGO,AO16141459
AGO,AO18158508
AGO,AO16139454
AGO,AO14115370
AGO,AO07058195
AGO,AO15136445
AGO,AO13112
AGO,AO12104334
AGO,AO18162
AGO,AO15131
AGO,AO06037133
AGO,AO03018071
AGO,AO01043
AGO,AO11092299
AGO,AO14122396
AGO,AO03022085
AGO,AO04027
AGO,AO17149
AGO,AO03019074
AGO,AO15135435
AGO,AO11004
AGO,AO18162522
AGO,AO09075244
AGO,AO03019079
AGO,AO05032120
AGO,AO01047
AGO,AO15128419
AGO,AO14119385
AGO,AO07051
AGO,AO11003010
AGO,AO07053178
AGO,AO10086
AGO,AO02012046
AGO,AO12101326
AGO,AO06046
AGO,AO14114
AGO,AO01043153
AGO,AO12108344
AGO,AO08062207
AGO,AO18159510
AGO,AO14125406
AGO,AO11092300
AGO,AO14125409
AGO,AO11004016
AGO,AO16139
AGO,AO17145470
AGO,AO17147475
AGO,AO15128415
AGO,AO07055185
AGO,AO15135440
